proud-spaceship-120 - average_num_of_new_cells_visited_in_minute,atomic-darkness-117 - average_num_of_new_cells_visited_in_minute,likely-disco-115 - average_num_of_new_cells_visited_in_minute
3.96,6.6,4.2
5.48,6.28,7.04
4.16,5.96,3
4.44,5.8,5.44
3.32,7.48,6.36
3.96,6.6,3.8
4.16,5.32,4.2
2.68,4.96,5.84
3.16,4.44,5.08
2.28,5.2,3.68
2.6,4.32,3.2
3.24,4.8,3.52
2.08,4,4
2.16,5.44,4.96
1.88,4.72,3.76
2.68,4.76,3
2.88,5,3.4
2.2,4.76,3.52
3,4.96,3.44
3.08,5.4,3.04
48.68,11.4,42.4
44.44,10.36,35.92
38.84,10.08,50.84
40.72,9.04,47.44
41.32,9.32,40.96
38.08,10.4,37.68
34.44,10.12,36.04
36.32,10.2,31.36
34.76,10.36,33.4
33,7.28,33.48
31.96,7.8,27.24
27.84,8,27.56
29.44,8.16,23.92
31.76,8.36,30.76
25.72,7.16,20.44
27.52,7.48,21.88
27.64,6.64,21.56
26.2,7.92,20.6
25.76,8.84,21.36
20.8,8.8,19.04
19.84,9.04,23.24
21.12,8.28,21.04
23.88,6.8,17.56
20.96,5.92,19.92
22.24,6.72,17.12
22.04,7.2,13.84
17.76,8.24,15.44
18.12,9,19.28
16.36,8.04,18.88
15.48,6.96,13.76
16.88,6.56,12.48
16.12,6.6,9.88
14.44,7.28,11.08
13.96,8.2,13.28
12.48,5.56,7.12
14.4,5.36,5.92
11.56,8.04,6.44
13.24,8.68,8.56
12.04,7,8.56
13.32,7.04,8.88
9.84,5.2,11.4
9.16,5.24,11.2
9.32,5.96,14.28
13.72,5.16,7.32
8.72,4.4,5.6
9.8,5.56,6.44
7.84,5,9.12
13.68,6.04,7.52
9.44,7.8,7.6
8.2,5.72,11.64
9.08,6.8,8.36
8.36,6.28,8.36
7.32,5.64,12.2
9.44,7.76,6.76
9.2,7.68,5.44
7.92,7.8,13.24
9,7.6,8.24
8.04,7.08,12.56
5.72,7.44,4.4
5.36,5.8,7.92
6.84,7.4,3.92
5.68,6.92,6.56
8.32,5.6,3.92
7.24,6,5.84
5.6,6.68,4.6
4.12,6.4,5.36
6.16,6.28,6.96
6.96,5.08,4.64
5.16,5.88,4.48
6.96,5.24,6.52
4.48,4.56,9.76
5.72,4.44,6.76
4.32,5.88,5.32
5.76,5.44,8.96
4.04,4.36,5.24
3.16,5,3.4
4,4.56,4.36
3.72,3.84,6.36
4.4,5,4.88
4.64,3.88,3.52
4.64,4,2.88
4.4,3.76,4.12
5.52,4.44,3.48
4,3.64,2.64
4.48,4.72,5.64
3.84,4.2,6
2.72,3.48,6.68
2.36,4.16,5.84
3.16,4.04,5.6
3.36,3.2,4.48
2.52,4.4,3.92
2.16,4.52,4.36
3.28,4.2,3.64
1.8,6.36,4.2
2.44,5.72,2.2
2.12,4.48,2.8
3.04,3.92,5.96
2.68,4.52,2.88
3.04,4.6,3.84
2.52,3.92,3.44
46.44,9.24,43.2
43.72,8.48,34
44,8.2,44.04
41.88,11.04,42.4
38.2,9.68,38.08
38.68,9.48,35.28
35.84,8.24,33.64
33.76,9.56,29.28
37.04,9.64,20.96
29.64,7.4,20.68
31.6,7.88,21.52
29,6.64,25
30.52,7.6,25.12
28.32,9.04,21.24
29.92,8.36,21.6
27.2,9.6,21.32
24.2,9.96,23.32
26.88,7.56,19.2
22.4,8.8,9.4
20.84,7.48,19
21.44,9.44,20.84
21.16,8.04,18.28
20.52,7.32,17.48
20.6,8.44,22.88
20.64,8.36,20.72
19.16,8.16,19.28
21.88,6.92,13.08
16.48,7.24,13.2
18.24,7.84,19
17.36,7.32,15.76
13.84,6.76,19.84
12.68,8.08,12.12
15.6,6.84,17.88
15.76,8.08,17.28
14.36,7.52,14.44
15.64,6.6,12.44
14.8,5.88,13.48
11.4,6.08,16.28
15.44,7.04,13.68
13.12,5.96,8.44
14.6,5.92,13.96
10.48,7.56,14.52
10.16,6.56,13.84
9.6,5.44,9.68
9.92,6.44,10.6
9.56,6.92,12.4
11.2,6.68,8.28
9.08,6.88,10.4
9.68,7.32,10.28
10.28,7.2,10.8
10.64,6.16,9.8
11.88,7.84,11.04
8.24,7.32,9.6
8.88,5.28,10.4
6.2,5.32,10.08
7.08,5.08,10.28
9.16,5.48,5.56
8.28,6.96,8.08
5.96,5.96,10.52
5.12,7.04,5.24
7.4,7.08,9
7.8,6.32,6.64
5.68,7.24,6.84
4.32,6.8,7.44
5.52,6.04,5.76
6,6.72,4.72
5.88,6.16,10.04
6.44,5.64,5.68
7.12,5.84,6.84
6.24,6.12,5.6
5.28,6.68,7.28
5.28,5.92,5.76
5.2,5.8,7.32
4.2,6.84,5.56
4.92,7,5.04
6.44,6.12,2.12
2.92,6.2,3.44
3.88,5.68,6.08
4.72,3.8,6.2
4.6,4.48,5.2
4.92,6.48,5.96
4,7.28,4.48
3.52,6.04,3.4
3.28,6.04,5.44
3.2,4.92,4.24
2.32,5.04,4.12
3.44,5.16,5.8
2.4,4.64,5.76
4.48,5.04,4.4
3.48,4.84,6.72
3.36,4.68,4.44
2.64,4.52,4.32
2,4.32,4.16
2.84,5.92,5.52
3.52,5,4.88
2.84,3.88,3.44
2.48,5.24,3.92
2.52,4.88,2.88
2.16,5.12,1.68
1.48,4.44,1.4
46.28,10.56,45
43.04,9.36,36.72
43.4,8.64,47
39.32,9.76,42.52
38.88,7.48,38.76
38.96,9,41.08
32.68,8.16,34.88
33.8,8.12,32.12
29.84,8.16,27.16
34.36,8.52,29.44
34.8,7.28,25.88
29.12,7.92,22
25.72,7.04,25.28
29.08,8.72,21.32
26.44,8.12,19.8
21.24,7.24,10
26.04,7.68,22.88
27.16,8.04,17.96
28.08,8.52,18.12
24.32,6.72,14.24
22.56,7.04,19.2
24.2,7.6,21.6
21.44,6.72,21.28
19.32,6.4,10.2
19.76,7.28,11.36
17.92,8.08,14.28
18.76,6.32,10.96
18.56,7.32,7.96
13.2,7.6,14
16.8,7.32,13.44
17,8.76,11.36
18.32,8.28,13.48
16.64,8.4,16.64
13.28,8.88,12.6
17.28,7.44,13.8
13.72,8.52,11.68
10.4,7.76,12.8
13.16,7.6,15.4
12.36,4.76,12.88
13.44,7.48,11.72
10.64,5.72,13.04
12.36,6.4,10.8
11.16,5.24,12.72
12.96,4.44,9.2
9.2,4.92,14.8
13.32,4.68,9.4
9.28,6.16,10.24
13.04,5.28,11.04
8.92,5.2,8.32
9.52,5,12.24
8.52,5.8,8.6
8.76,6.44,8.12
10.44,6.4,8.4
8.64,5.12,7.16
10.2,6.48,7.6
5.72,7.08,8.36
8.32,6.4,13.08
6.32,7.2,8.28
5.92,8.56,8.36
7.68,8.68,7.72
6.76,7.16,8.08
7.4,5.6,7.72
5.48,5.36,8.92
6.52,6.44,7.08
6.28,5.28,6.2
4.76,6.44,7.44
5.36,5.96,6.56
5,5.8,6.64
4.72,4.52,9.52
5.72,4.76,5.92
5.92,5.32,8.8
4.72,6.68,8
5.08,6.84,9.88
6.2,7.08,6.72
6.04,6.36,7.28
4.56,6.36,5.76
5.92,5.92,4.48
5.28,5.08,5.72
4.28,5.28,4.68
3.2,5.28,4.28
3.24,6.32,6.48
4.28,6.44,6.56
2.6,7,6.44
3.32,5.72,6.8
4.48,2.92,2.72
3.88,3.8,5.2
3.2,3.48,4.72
3.4,3.96,4
4.56,2.92,3.28
3.12,5.08,3
3.96,5.04,2.8
2.16,4.56,3.68
2.64,4.56,5.08
2.08,3.92,2.12
2.48,3.08,2.96
3.12,4.24,4.12
3.2,5.76,2.6
2.56,3.88,4.28
1.72,4.72,3.48
4.04,4.72,2.8
,,
25.2,8.26,23.34
21.16,3.54,20.54
